,image_link,group_id,entity_name,entity_value
0,https://m.media-amazon.com/images/I/51NsQx+By7L.jpg,658892,depth,11.0 centimetre
1,https://m.media-amazon.com/images/I/616Sc5EcivL.jpg,630869,depth,19.0 centimetre
2,https://m.media-amazon.com/images/I/51+RxGckwFL.jpg,932289,depth,27.56 inch
3,https://m.media-amazon.com/images/I/417N6ySYhzL.jpg,784538,depth,18.0 inch
4,https://m.media-amazon.com/images/I/51NLAcF1eXL.jpg,658003,depth,31.0 centimetre
5,https://m.media-amazon.com/images/I/51HsOrcb0JL.jpg,373557,depth,3.5 centimetre
6,https://m.media-amazon.com/images/I/51icAGQr9YL.jpg,675317,depth,45.0 millimetre
7,https://m.media-amazon.com/images/I/61E3pKFutEL.jpg,927393,depth,4.5 inch
8,https://m.media-amazon.com/images/I/61CAiSOEKYL.jpg,978900,depth,7.0 centimetre
9,https://m.media-amazon.com/images/I/51jL23aIumL.jpg,396159,depth,16.0 inch
10,https://m.media-amazon.com/images/I/5176RTL7nVL.jpg,751532,depth,207.0 centimetre
11,https://m.media-amazon.com/images/I/611Q95-GQ4L.jpg,342931,depth,815.0 millimetre
12,https://m.media-amazon.com/images/I/5110plG4MbL.jpg,784538,depth,90.0 centimetre
13,https://m.media-amazon.com/images/I/6131w+qXp8L.jpg,208023,depth,13.5 inch
14,https://m.media-amazon.com/images/I/61D8pKH30SL.jpg,125037,depth,67.0 millimetre
15,https://m.media-amazon.com/images/I/61CsO8jxzIS.jpg,192007,depth,8.7 inch
16,https://m.media-amazon.com/images/I/51-PnhYE6zL.jpg,536583,depth,1.0 foot
17,https://m.media-amazon.com/images/I/411DMjY9oyL.jpg,460806,depth,49.0 millimetre
18,https://m.media-amazon.com/images/I/51ybWX5xH4L.jpg,119607,depth,22.5 centimetre
19,https://m.media-amazon.com/images/I/61Dg+e1BQDL.jpg,661582,depth,17.0 centimetre
20,https://m.media-amazon.com/images/I/51mmUIqJSuL.jpg,783898,depth,16.5 centimetre
21,https://m.media-amazon.com/images/I/614CmszW-iL.jpg,944936,depth,4.0 inch
22,https://m.media-amazon.com/images/I/51-16IPwWFL.jpg,308671,depth,3.0 foot
23,https://m.media-amazon.com/images/I/612jnfVGiEL.jpg,497376,depth,30.0 centimetre
24,https://m.media-amazon.com/images/I/51XmhyqenML.jpg,523599,depth,26.0 centimetre
25,https://m.media-amazon.com/images/I/41-UevRIqwL.jpg,826444,depth,110.0 millimetre
